COM,REG,DEP,TNCC,NCC,NCCENR
1001,84,1,5,ABERGEMENT CLEMENCIAT,Abergement-Clémenciat
1002,84,1,5,ABERGEMENT DE VAREY,Abergement-de-Varey
1004,84,1,1,AMBERIEU EN BUGEY,Ambérieu-en-Bugey
1005,84,1,1,AMBERIEUX EN DOMBES,Ambérieux-en-Dombes
1006,84,1,1,AMBLEON,Ambléon
1007,84,1,1,AMBRONAY,Ambronay
1008,84,1,1,AMBUTRIX,Ambutrix
1009,84,1,1,ANDERT ET CONDON,Andert-et-Condon
1010,84,1,1,ANGLEFORT,Anglefort
1011,84,1,1,APREMONT,Apremont
1012,84,1,1,ARANC,Aranc
1013,84,1,1,ARANDAS,Arandas
1014,84,1,1,ARBENT,Arbent
1015,84,1,1,ARBOYS EN BUGEY,Arboys en Bugey
1016,84,1,1,ARBIGNY,Arbigny
1017,84,1,1,ARGIS,Argis
1019,84,1,1,ARMIX,Armix
1021,84,1,1,ARS SUR FORMANS,Ars-sur-Formans
1022,84,1,1,ARTEMARE,Artemare
1023,84,1,1,ASNIERES SUR SAONE,Asnières-sur-Saône
1024,84,1,1,ATTIGNAT,Attignat
1025,84,1,0,BAGE DOMMARTIN,Bâgé-Dommartin
1026,84,1,0,BAGE LE CHATEL,Bâgé-le-Châtel
1027,84,1,0,BALAN,Balan
1028,84,1,0,BANEINS,Baneins
1029,84,1,0,BEAUPONT,Beaupont
1030,84,1,0,BEAUREGARD,Beauregard
1031,84,1,0,BELLIGNAT,Bellignat
1032,84,1,0,BELIGNEUX,Béligneux
1033,84,1,0,VALSERHONE,Valserhône
1034,84,1,0,BELLEY,Belley
1035,84,1,0,BELLEYDOUX,Belleydoux
1036,84,1,0,VALROMEY SUR SERAN,Valromey-sur-Séran
1037,84,1,0,BENONCES,Bénonces
1038,84,1,0,BENY,Bény
1040,84,1,0,BEREZIAT,Béréziat
1041,84,1,0,BETTANT,Bettant
1042,84,1,0,BEY,Bey
1043,84,1,0,BEYNOST,Beynost
1044,84,1,0,BILLIAT,Billiat
1045,84,1,0,BIRIEUX,Birieux
1046,84,1,0,BIZIAT,Biziat
1047,84,1,0,BLYES,Blyes
1049,84,1,3,BOISSE,Boisse
1050,84,1,0,BOISSEY,Boissey
1051,84,1,0,BOLOZON,Bolozon
1052,84,1,0,BOULIGNEUX,Bouligneux
1053,84,1,0,BOURG EN BRESSE,Bourg-en-Bresse
1054,84,1,0,BOURG SAINT CHRISTOPHE,Bourg-Saint-Christophe
1056,84,1,0,BOYEUX SAINT JEROME,Boyeux-Saint-Jérôme
1057,84,1,0,BOZ,Boz
1058,84,1,0,BREGNIER CORDON,Brégnier-Cordon
1060,84,1,0,BRENOD,Brénod
1061,84,1,0,BRENS,Brens
1062,84,1,0,BRESSOLLES,Bressolles
1063,84,1,0,BRION,Brion
1064,84,1,0,BRIORD,Briord
1065,84,1,0,BUELLAS,Buellas
1066,84,1,3,BURBANCHE,Burbanche
1067,84,1,0,CEIGNES,Ceignes
1068,84,1,0,CERDON,Cerdon
1069,84,1,0,CERTINES,Certines
1071,84,1,0,CESSY,Cessy
1072,84,1,0,CEYZERIAT,Ceyzériat
1073,84,1,0,CEYZERIEU,Ceyzérieu
1074,84,1,0,CHALAMONT,Chalamont
1075,84,1,0,CHALEINS,Chaleins
1076,84,1,0,CHALEY,Chaley
1077,84,1,0,CHALLES LA MONTAGNE,Challes-la-Montagne
1078,84,1,0,CHALLEX,Challex
1079,84,1,0,CHAMPAGNE EN VALROMEY,Champagne-en-Valromey
1080,84,1,0,CHAMPDOR CORCELLES,Champdor-Corcelles
1081,84,1,0,CHAMPFROMIER,Champfromier
1082,84,1,0,CHANAY,Chanay
1083,84,1,0,CHANEINS,Chaneins
1084,84,1,0,CHANOZ CHATENAY,Chanoz-Châtenay
1085,84,1,3,CHAPELLE DU CHATELARD,Chapelle-du-Châtelard
1087,84,1,0,CHARIX,Charix
1088,84,1,0,CHARNOZ SUR AIN,Charnoz-sur-Ain
1089,84,1,0,CHATEAU GAILLARD,Château-Gaillard
1090,84,1,0,CHATENAY,Châtenay
1092,84,1,0,CHATILLON LA PALUD,Châtillon-la-Palud
1093,84,1,0,CHATILLON SUR CHALARONNE,Châtillon-sur-Chalaronne
1094,84,1,0,CHAVANNES SUR REYSSOUZE,Chavannes-sur-Reyssouze
1095,84,1,0,NIVIGNE ET SURAN,Nivigne et Suran
1096,84,1,0,CHAVEYRIAT,Chaveyriat
1098,84,1,0,CHAZEY BONS,Chazey-Bons
1099,84,1,0,CHAZEY SUR AIN,Chazey-sur-Ain
