COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
P19_POP;Population en 2019 (princ);Population en 2019;;;NUM;5
P13_POP;Population en 2013 (princ);Population en 2019;;;NUM;5
P08_POP;Population en 2008 (princ);Population en 2019;;;NUM;5
D99_POP;Population en 1999 (dnbt);Population en 2019;;;NUM;5
D90_POP;Population en 1990 (dnbt);Population sans les doubles comptes en 2019;;;NUM;5
D82_POP;Population en 1982 (dnbt);Population sans les doubles comptes en 2019;;;NUM;4
D75_POP;Population en 1975 (dnbt);Population sans les doubles comptes en 2019;;;NUM;4
D68_POP;Population en 1968 (dnbt);Population sans les doubles comptes en 2019;;;NUM;4
SUPERF;Superficie (en km²);Superficie (en km²) en 2019;;;NUM;4
NAIS1319;Naissances entre 2013 et 2019;Nombre de naissances entre 01/01/2013 et 01/01/2019 en 2019;;;NUM;4
NAIS0813;Naissances entre 2008 et 2013;Nombre de naissances entre 01/01/2008 et 01/01/2013 en 2019;;;NUM;4
NAIS9908;Naissances entre 1999 et 2008;Nombre de naissances entre 01/01/1999 et 01/01/2008 en 2019;;;NUM;4
NAIS9099;Naissances entre 1990 et 1999;Nombre de naissances entre RP1990 et RP1999 en 2019;;;NUM;4
NAIS8290;Naissances entre 1982 et 1990;Nombre de naissances entre RP1982 et RP1990 en 2019;;;NUM;4
NAIS7582;Naissances entre 1975 et 1982;Nombre de naissances entre RP1975 et RP1982 en 2019;;;NUM;4
NAIS6875;Naissances entre 1968 et 1975;Nombre de naissances entre RP1968 et RP1975 en 2019;;;NUM;4
DECE1319;Décès entre 2013 et 2019;Nombre de décès entre 01/01/2013 et 01/01/2019 en 2019;;;NUM;3
DECE0813;Décès entre 2008 et 2013;Nombre de décès entre 01/01/2008 et 01/01/2013 en 2019;;;NUM;3
DECE9908;Décès entre 1999 et 2008;Nombre de décès entre 01/01/1999 et 01/01/2008 en 2019;;;NUM;3
