TYPECOM,COM,REG,DEP,TNCC,NCC,NCCENR,LIBELLE
COM,1001,84,1,5,ABERGEMENT CLEMENCIAT,Abergement-Clémenciat,L'Abergement-Clémenciat
COM,1002,84,1,5,ABERGEMENT DE VAREY,Abergement-de-Varey,L'Abergement-de-Varey
COM,1004,84,1,1,AMBERIEU EN BUGEY,Ambérieu-en-Bugey,Ambérieu-en-Bugey
COM,1005,84,1,1,AMBERIEUX EN DOMBES,Ambérieux-en-Dombes,Ambérieux-en-Dombes
COM,1006,84,1,1,AMBLEON,Ambléon,Ambléon
COM,1007,84,1,1,AMBRONAY,Ambronay,Ambronay
COM,1008,84,1,1,AMBUTRIX,Ambutrix,Ambutrix
COM,1009,84,1,1,ANDERT ET CONDON,Andert-et-Condon,Andert-et-Condon
COM,1010,84,1,1,ANGLEFORT,Anglefort,Anglefort
COM,1011,84,1,1,APREMONT,Apremont,Apremont
COM,1012,84,1,1,ARANC,Aranc,Aranc
COM,1013,84,1,1,ARANDAS,Arandas,Arandas
COM,1014,84,1,1,ARBENT,Arbent,Arbent
COM,1015,84,1,1,ARBOYS EN BUGEY,Arboys en Bugey,Arboys en Bugey
COMD,1015,,,1,ARBIGNIEU,Arbignieu,Arbignieu
COM,1016,84,1,1,ARBIGNY,Arbigny,Arbigny
COM,1017,84,1,1,ARGIS,Argis,Argis
COM,1019,84,1,1,ARMIX,Armix,Armix
COM,1021,84,1,1,ARS SUR FORMANS,Ars-sur-Formans,Ars-sur-Formans
COM,1022,84,1,1,ARTEMARE,Artemare,Artemare
COM,1023,84,1,1,ASNIERES SUR SAONE,Asnières-sur-Saône,Asnières-sur-Saône
COM,1024,84,1,1,ATTIGNAT,Attignat,Attignat
COM,1025,84,1,0,BAGE DOMMARTIN,Bâgé-Dommartin,Bâgé-Dommartin
COMD,1025,,,0,BAGE LA VILLE,Bâgé-la-Ville,Bâgé-la-Ville
COM,1026,84,1,0,BAGE LE CHATEL,Bâgé-le-Châtel,Bâgé-le-Châtel
COM,1027,84,1,0,BALAN,Balan,Balan
COM,1028,84,1,0,BANEINS,Baneins,Baneins
